own_it,card_number,card_name,rarity,exclusive_pack,type,hp,stage,pack_points,retreat_cost__effect,how_to_get
,A1 001,Bulbasaur,◇,Genetic Apex (A1)Mewtwo,Grass,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Vine Whip"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""40""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 012,Gloom,◇◇,Genetic Apex (A1)Charizard,Grass,80,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Drool"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""40""}]}",Open Genetic Apex (A1) Charizard packs
,A1 013,Vileplume,◇◇◇,Genetic Apex (A1)Charizard,Grass,140,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Soothing Scent"", ""img_alts"": [""Grass 2"", ""Colorless""], ""description"": ""80 Your opponent's Active Pokemon is now Asleep.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 014,Paras,◇,Genetic Apex (A1)Pikachu,Grass,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Scratch"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""30""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 015,Parasect,◇◇,Genetic Apex (A1)Pikachu,Grass,120,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Slash"", ""img_alts"": [""Grass 2"", ""Colorless""], ""description"": ""80""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 016,Venonat,◇,Genetic Apex (A1)Mewtwo,Grass,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Tackle"", ""img_alts"": [""Grass""], ""description"": ""20""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 017,Venomoth,◇◇,Genetic Apex (A1)Mewtwo,Grass,80,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Poison Powder"", ""img_alts"": [""Grass""], ""description"": ""30 Your opponent's Active Pokemon is now Poisoned.""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 018,Bellsprout,◇,Genetic Apex (A1)Charizard,Grass,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Vine Whip"", ""img_alts"": [""Grass""], ""description"": ""30""}]}",Open Genetic Apex (A1) Charizard packs
,A1 019,Weepinbell,◇◇,Genetic Apex (A1)Charizard,Grass,90,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Razor Leaf"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""40""}]}",Open Genetic Apex (A1) Charizard packs
,A1 020,Victreebel,◇◇◇,Genetic Apex (A1)Charizard,Grass,140,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": ""Fragrance Trap"", ""ability_text"": ""Fragrance Trap If this Pokemon is in the Active Spot, once during your turn, you may switch in 1 of your opponent's Benched Basic Pokemon to the Active Spot."", ""attacks"": [{""name"": ""Vine Whip"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""60""}]}",Open Genetic Apex (A1) Charizard packs
,A1 021,Exeggcute,◇,Genetic Apex (A1)Charizard,Grass,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Seed Bomb"", ""img_alts"": [""Grass""], ""description"": ""20""}]}",Open Genetic Apex (A1) Charizard packs
,A1 022,Exeggutor,◇◇◇,Genetic Apex (A1)Charizard,Grass,130,Stage 1,150  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Stomp"", ""img_alts"": [""Grass""], ""description"": ""30+ Flip a coin. If heads, this attack does 30 more damage.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 023,Exeggutor ex,◇◇◇◇,Genetic Apex (A1)Charizard,Grass,160,Stage 1,500  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Tropical Swing"", ""img_alts"": [""Grass""], ""description"": ""40+ Flip a coin. If heads, this attack does 40 more damage.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 024,Tangela,◇,Genetic Apex (A1)Charizard,Grass,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Absorb"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""40 Heal 30 damage from this Pokemon.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 025,Scyther,◇,Genetic Apex (A1)Mewtwo,Grass,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Sharp Scythe"", ""img_alts"": [""Grass""], ""description"": ""30""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 026,Pinsir,◇◇,Genetic Apex (A1)Any,Grass,90,Basic,70  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Double Horn"", ""img_alts"": [""Grass 2""], ""description"": ""50x Flip 2 coins. This attack does 50 damage for each heads.""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 027,Cottonee,◇,Genetic Apex (A1)Any,Grass,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Attach"", ""img_alts"": [""Colorless""], ""description"": ""10""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 028,Whimsicott,◇◇,Genetic Apex (A1)Any,Grass,80,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Rolling Tackle"", ""img_alts"": [""Colorless""], ""description"": ""40""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 029,Petilil,◇,Genetic Apex (A1)Any,Grass,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Blot"", ""img_alts"": [""Grass""], ""description"": ""10 Heal 10 damage from this Pokemon.""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 030,Lilligant,◇◇,Genetic Apex (A1)Any,Grass,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Leaf Supply"", ""img_alts"": [""Grass 2""], ""description"": ""50 Take a Grass Energy from your Energy Zone and attach it to 1 of your Benched Grass Pokemon.""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 031,Skiddo,◇,Genetic Apex (A1)Charizard,Grass,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Surprise Attack"", ""img_alts"": [""Colorless""], ""description"": ""40 Flip a coin. If tails, this attack does nothing.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 032,Gogoat,◇,Genetic Apex (A1)Charizard,Grass,120,Stage 1,35  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Razor Leaf"", ""img_alts"": [""Grass""], ""description"": ""70""}]}",Open Genetic Apex (A1) Charizard packs
,A1 033,Charmander,◇,Genetic Apex (A1)Charizard,Fire,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Ember"", ""img_alts"": [""Fire""], ""description"": ""30 Discard a Fire Energy from this Pokemon.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 034,Charmeleon,◇◇,Genetic Apex (A1)Charizard,Fire,90,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Fire Claws"", ""img_alts"": [""Fire"", ""Colorless 2""], ""description"": ""60""}]}",Open Genetic Apex (A1) Charizard packs
,A1 035,Charizard,◇◇◇,Genetic Apex (A1)Charizard,Fire,150,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Fire Spin"", ""img_alts"": [""Fire 2"", ""Colorless 2""], ""description"": ""150 Discard 2 Fire Energy from this Pokemon.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 036,Charizard ex,◇◇◇◇,Genetic Apex (A1)Charizard,Fire,180,Stage 2,500  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Slash"", ""img_alts"": [""Fire"", ""Colorless 2""], ""description"": ""60""}, {""name"": ""Crimson Storm"", ""img_alts"": [""Fire 2"", ""Colorless 2""], ""description"": ""200 Discard 2 Fire Energy from this Pokemon.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 037,Vulpix,◇,Genetic Apex (A1)Charizard,Fire,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Tail Whip"", ""img_alts"": [""Colorless""], ""description"": ""Flip a coin. If heads, the Defending Pokemon can't attack during your opponent's next turn.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 038,Ninetales,◇◇,Genetic Apex (A1)Charizard,Fire,90,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Flamethrower"", ""img_alts"": [""Fire 2""], ""description"": ""90 Discard a Fire Energy from this Pokemon.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 039,Growlithe,◇,Genetic Apex (A1)Pikachu,Fire,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bite"", ""img_alts"": [""Colorless 2""], ""description"": ""20""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 040,Arcanine,◇◇◇,Genetic Apex (A1)Pikachu,Fire,130,Stage 1,150  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Heat Tackle"", ""img_alts"": [""Fire 2"", ""Colorless""], ""description"": ""100 This Pokemon also does 20 damage to itself.""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 041,Arcanine ex,◇◇◇◇,Genetic Apex (A1)Pikachu,Fire,150,Stage 1,500  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Inferno Onrush"", ""img_alts"": [""Fire 2"", ""Colorless""], ""description"": ""120 This Pokemon also does 20 damage to itself.""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 042,Ponyta,◇,Genetic Apex (A1)Any,Fire,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Flare"", ""img_alts"": [""Fire""], ""description"": ""20""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 043,Rapidash,◇◇,Genetic Apex (A1)Any,Fire,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Fire Mane"", ""img_alts"": [""Fire""], ""description"": ""40""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 044,Magmar,◇,Genetic Apex (A1)Charizard,Fire,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Magma Punch"", ""img_alts"": [""Fire 2""], ""description"": ""50""}]}",Open Genetic Apex (A1) Charizard packs
,A1 045,Flareon,◇◇◇,Genetic Apex (A1)Charizard,Fire,120,Stage 1,150  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Flamethrower"", ""img_alts"": [""Fire"", ""Colorless 2""], ""description"": ""110 Discard 1 Fire Energy from this Pokemon.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 046,Moltres,◇◇◇,Genetic Apex (A1)Charizard,Fire,100,Basic,150  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Sky Attack"", ""img_alts"": [""Fire"", ""Colorless 2""], ""description"": ""130 Flip a coin. If tails, this attack does nothing.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 047,Moltres ex,◇◇◇◇,Genetic Apex (A1)Charizard,Fire,140,Basic,500  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Inferno Dance"", ""img_alts"": [""Fire""], ""description"": ""Flip 3 coins. Take an amount of Fire Energy from your Energy Zone equal to the number of heads and attach it to your Benched Fire Pokemon in any way you like.""}, {""name"": ""Heat Blast"", ""img_alts"": [""Fire"", ""Colorless 2""], ""description"": ""70""}]}",Open Genetic Apex (A1) Charizard packs
,A1 048,Heatmor,◇,Genetic Apex (A1)Any,Fire,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Combustion"", ""img_alts"": [""Fire""], ""description"": ""30""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 049,Salandit,◇,Genetic Apex (A1)Mewtwo,Fire,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Scratch"", ""img_alts"": [""Fire""], ""description"": ""20""}]}",Open Genetic Apex (A1) Mewtwo packs
